Date,Year,Month,Day,Open,High,Low,Close
6/2/00,2000,6,Friday,10660.09,11013.05,10600.46,10794.76
6/1/00,2000,6,Thursday,10532.27,10780.37,10422.95,10652.2
5/31/00,2000,5,Wednesday,10528.28,10692.73,10376.69,10522.33
5/30/00,2000,5,Tuesday,10302.31,10596.69,10287.94,10527.13
5/26/00,2000,5,Friday,10299.24,10487.72,10163.2,10299.24
5/25/00,2000,5,Thursday,10529.87,10644.32,10207.75,10323.92
5/24/00,2000,5,Wednesday,10420.9,10679.53,10240.99,10535.35
5/23/00,2000,5,Tuesday,10539.12,10671.74,10322.2,10422.27
5/22/00,2000,5,Monday,10624.79,10718,10308.15,10542.55
5/19/00,2000,5,Friday,10764.22,10821.83,10468.19,10626.85
5/18/00,2000,5,Thursday,10771.8,10938.34,10669,10777.28
5/17/00,2000,5,Wednesday,10930.64,10947.25,10648.78,10769.74
5/16/00,2000,5,Tuesday,10816.01,11086.72,10723.48,10934.57
5/15/00,2000,5,Monday,10606.97,10906.47,10509.31,10807.78
5/12/00,2000,5,Friday,10549.06,10780.37,10444.54,10609.37
5/11/00,2000,5,Thursday,10369.27,10676.88,10311.58,10545.97
5/10/00,2000,5,Wednesday,10533.09,10649.95,10162.6,10367.78
5/9/00,2000,5,Tuesday,10607.54,10765.75,10435.96,10536.75
5/8/00,2000,5,Monday,10571.31,10744.22,10398.77,10603.63
5/5/00,2000,5,Friday,10409.7,10688.61,10312.91,10577.86
5/4/00,2000,5,Thursday,10478.89,10631.53,10293.05,10412.49
5/3/00,2000,5,Wednesday,10732.21,10754.39,10345.17,10480.13
5/2/00,2000,5,Tuesday,10805.58,10932.47,10578.79,10731.12
5/1/00,2000,5,Monday,10749.42,11001.34,10622.22,10811.78
4/28/00,2000,4,Friday,10892.76,11008.17,10632.46,10733.91
4/27/00,2000,4,Thursday,10941.91,11024.61,10650.14,10888.1
4/26/00,2000,4,Wednesday,11127.92,11246.75,10814.88,10945.5
4/25/00,2000,4,Tuesday,10916.65,11265.67,10764.62,11124.82
4/24/00,2000,4,Monday,10822.33,11093.18,10579.72,10906.1
4/20/00,2000,4,Thursday,10668.19,10941.47,10574.75,10844.05
4/19/00,2000,4,Wednesday,10748.97,10909.2,10499.98,10674.96
4/18/00,2000,4,Tuesday,10584.02,10954.19,10424.9,10767.42
4/17/00,2000,4,Monday,10303.29,10725.22,10129.24,10582.51
4/14/00,2000,4,Friday,10922.85,10890.9,10172.67,10305.77
4/13/00,2000,4,Thursday,11132.58,11290.8,10804.65,10923.55
4/12/00,2000,4,Wednesday,11283.05,11600.12,11017.79,11125.13
4/11/00,2000,4,Tuesday,11180.98,11459.58,10989.55,11287.08
4/10/00,2000,4,Monday,11114.89,11404.35,10954.19,11186.56
4/7/00,2000,4,Friday,11122.03,11318.41,10932.78,11111.48
4/6/00,2000,4,Thursday,11029.56,11303.83,10921.07,11114.27
4/5/00,2000,4,Wednesday,11163.29,11326.79,10894,11033.92
4/4/00,2000,4,Tuesday,11225.34,11541.17,10677.76,11164.84
4/3/00,2000,4,Monday,10863.28,11345.41,10816.75,11221.93
3/31/00,2000,3,Friday,10993.28,11244.58,10801.23,10921.92
3/30/00,2000,3,Thursday,11008.17,11258.23,10796.58,10980.25
3/29/00,2000,3,Wednesday,10939.05,11214.48,10793.79,11018.72
3/28/00,2000,3,Tuesday,11023.68,11192.77,10804.65,10936.11
3/27/00,2000,3,Monday,11093.25,11274.98,10880.97,11025.85
3/24/00,2000,3,Friday,11107.45,11311.28,10901.44,11112.72
3/23/00,2000,3,Thursday,10884.38,11224.72,10738.25,11119.86
3/22/00,2000,3,Wednesday,10916.96,11054.71,10671.86,10866.7
3/21/00,2000,3,Tuesday,10680.24,11017.48,10516.12,10907.34
3/20/00,2000,3,Monday,10594.75,10866.08,10456.86,10680.24
3/17/00,2000,3,Friday,10629.98,10849.63,10399.15,10595.23
3/16/00,2000,3,Thursday,10139.58,10716.23,10142.27,10630.6
3/15/00,2000,3,Wednesday,9808.15,10294.6,9676.9,10131.41
3/14/00,2000,3,Tuesday,9957.67,10149.41,9744.84,9811.24
3/13/00,2000,3,Monday,9947.13,10111.25,9670.07,9947.13
3/10/00,2000,3,Friday,10008.55,10211.77,9792.93,9928.82
3/9/00,2000,3,Thursday,9855.29,10097.28,9667.28,10010.73
3/8/00,2000,3,Wednesday,9800.69,10037.41,9611.75,9856.53
3/7/00,2000,3,Tuesday,10197.61,10208.66,9650.84,9796.03
3/6/00,2000,3,Monday,10358.96,10518.91,10039.73,10170.5
3/3/00,2000,3,Friday,10171.12,10581.89,10148.16,10367.2
3/2/00,2000,3,Thursday,10135.44,10361.61,9986.53,10164.92
3/1/00,2000,3,Wednesday,10128.11,10355.72,9935.96,10137.93
2/29/00,2000,2,Tuesday,10039.58,10332.14,9926.65,10128.31
2/28/00,2000,2,Monday,9854.66,10228.52,9760.36,10038.65
2/25/00,2000,2,Friday,10090.77,10196.02,9767.8,9862.12
2/24/00,2000,2,Thursday,10242.48,10321.9,9877.94,10092.63
2/23/00,2000,2,Wednesday,10294.82,10443.21,10077.74,10225.73
2/22/00,2000,2,Tuesday,10219.83,10447.55,10011.35,10304.84
2/18/00,2000,2,Friday,10514.57,10562.34,10127.69,10219.52
2/17/00,2000,2,Thursday,10565.76,10806.51,10348.66,10514.57
2/16/00,2000,2,Wednesday,10711.82,10831.64,10467.41,10561.41
2/15/00,2000,2,Tuesday,10520.15,10821.09,10385.74,10718.09
2/14/00,2000,2,Monday,10431.65,10684.27,10327.25,10519.84
2/11/00,2000,2,Friday,10638.64,10763.38,10301.12,10425.21
2/10/00,2000,2,Thursday,10697.92,10853.67,10491.3,10643.63
2/9/00,2000,2,Wednesday,10948.82,11016.54,10647.04,10699.16
2/8/00,2000,2,Tuesday,10904.26,11144.37,10826.67,10957.6
2/7/00,2000,2,Monday,10965.97,11098.14,10734.53,10905.79
2/4/00,2000,2,Friday,11014.37,11200.83,10847.54,10963.8
2/3/00,2000,2,Thursday,11010.48,11209.21,10799.68,11013.44
2/2/00,2000,2,Wednesday,11037.64,11228.44,10873.52,11003.2
2/1/00,2000,2,Tuesday,10937.74,11187.18,10798.44,11041.05
1/31/00,2000,1,Monday,10735.77,11062.77,10610.43,10940.53
1/28/00,2000,1,Friday,11024.92,11115.2,10649.21,10738.87
1/27/00,2000,1,Thursday,11035.55,11274.36,10818.3,11028.02
1/26/00,2000,1,Wednesday,11025.85,11280.56,10848.39,11032.99
1/25/00,2000,1,Tuesday,11010.96,11229.68,10779.83,11029.89
1/24/00,2000,1,Monday,11251.94,11501.15,10847.15,11008.17
1/21/00,2000,1,Friday,11356.26,11513.87,11113.65,11251.71
1/20/00,2000,1,Thursday,11490.29,11654.72,11192.14,11351.3
1/19/00,2000,1,Wednesday,11535.24,11710.57,11320.28,11489.36
1/18/00,2000,1,Tuesday,11719.19,11848.32,11397.32,11560.72
1/14/00,2000,1,Friday,11619.35,11908.5,11506.42,11722.98
1/13/00,2000,1,Thursday,11558.24,11776.96,11409.63,11582.43
1/12/00,2000,1,Wednesday,11506.73,11751.83,11385.74,11551.1
1/11/00,2000,1,Tuesday,11568.47,11748.11,11398.3,11511.08
1/10/00,2000,1,Monday,11532.48,11765.17,11427,11572.2
1/7/00,2000,1,Friday,11247.06,11686.37,11168.26,11522.56
1/6/00,2000,1,Thursday,11113.37,11447.79,10942.4,11253.26
1/5/00,2000,1,Wednesday,10989.37,11337.65,10862.66,11122.65
1/4/00,2000,1,Tuesday,11349.75,11358.44,10903.62,10997.93
1/3/00,2000,1,Monday,11501.85,11641.07,11180.98,11357.51
12/31/99,1999,12,Friday,11497.12,11598.26,11368.05,11497.12
12/30/99,1999,12,Thursday,11452.86,11640.33,11388.94,11452.86
12/29/99,1999,12,Wednesday,11484.66,11658.68,11367.53,11484.66
12/28/99,1999,12,Tuesday,11476.71,11613.72,11302.08,11476.71
12/27/99,1999,12,Monday,11391.08,11603.02,11253.15,11391.08
12/23/99,1999,12,Thursday,11405.76,11506.38,11231.13,11405.76
12/22/99,1999,12,Wednesday,11203.6,11375.17,11075.76,11203.6
12/21/99,1999,12,Tuesday,11200.54,11328.69,10973.61,11200.54
12/20/99,1999,12,Monday,11144.27,11417.38,11026.22,11144.27
12/17/99,1999,12,Friday,11257.43,11497.2,11103.59,11257.43
12/16/99,1999,12,Thursday,11244.89,11396.89,11016.12,11244.89
12/15/99,1999,12,Wednesday,11225.32,11400.48,11014.6,11225.32
12/14/99,1999,12,Tuesday,11160.17,11336.33,11027.13,11160.17
12/13/99,1999,12,Monday,11192.59,11379.46,11024.38,11192.59
12/10/99,1999,12,Friday,11224.7,11358.66,11042.12,11224.7
12/9/99,1999,12,Thursday,11134.79,11327.46,10962.6,11134.79
12/8/99,1999,12,Wednesday,11068.12,11273.33,10957.4,11068.12
12/7/99,1999,12,Tuesday,11106.65,11351.32,10993.49,11106.65
12/6/99,1999,12,Monday,11225.01,11412.79,11100.53,11225.01
12/3/99,1999,12,Friday,11286.18,11423.5,11114.53,11286.18
12/2/99,1999,12,Thursday,11039.06,11183.72,10896.24,11039.06
12/1/99,1999,12,Wednesday,10998.39,11111.24,10798.07,10998.39
11/30/99,1999,11,Tuesday,10877.81,11142.13,10785.22,10877.81
11/29/99,1999,11,Monday,10947.92,11059.25,10813.36,10947.92
11/26/99,1999,11,Friday,10988.91,11115.83,10938.14,10988.91
11/24/99,1999,11,Wednesday,11008.17,11131.12,10859.23,11008.17
11/23/99,1999,11,Tuesday,10995.63,11178.83,10899.6,10995.63
11/22/99,1999,11,Monday,11089.52,11195.34,10887.67,11089.52
11/19/99,1999,11,Friday,11003.89,11146.41,10871.77,11003.89
11/18/99,1999,11,Thursday,11035.7,11147.02,10859.92,11035.7
11/17/99,1999,11,Wednesday,10883.09,11040.9,10773.9,10883.09
11/16/99,1999,11,Tuesday,10932.33,10996.55,10691.94,10932.33
11/15/99,1999,11,Monday,10760.75,10899.22,10626.49,10760.75
11/12/99,1999,11,Friday,10769.32,10845.16,10513.03,10769.32
11/11/99,1999,11,Thursday,10595.3,10716.41,10485.2,10595.3
11/10/99,1999,11,Wednesday,10597.74,10713.04,10449.42,10597.74
11/9/99,1999,11,Tuesday,10617.32,10806.63,10507.22,10617.32
11/8/99,1999,11,Monday,10718.85,10838.74,10548.2,10718.85
11/5/99,1999,11,Friday,10704.48,10885.53,10635.67,10704.48
