YEAR,SAMPLE,SERIAL,CBSERIAL,NUMPREC,HHWT,HHTYPE,CLUSTER,CPI99,STATEFIP,COUNTYFIP,PUMA,STRATA,GQ,OWNERSHP,OWNERSHPD,RENT,COSTELEC,COSTGAS,HHINCOME,VALUEH,ROOMS,BUILTYR2,UNITSSTR,BEDROOMS,FUELHEAT,VEHICLES,PERNUM,PERWT,NCHILD,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,CITIZEN,YRIMMIG,EDUC,EDUCD,DEGFIELD,DEGFIELDD,EMPSTAT,EMPSTATD,LABFORCE,OCC1990,CLASSWKR,CLASSWKRD,WKSWORK2,UHRSWORK,INCBUS00,INCEARN,SEI,MOVEDIN,QBPL,QINCWAGE
2017,201701,133770,2017000681591,2,82,3,2017001337701,0.679,6,73,7305,730506,1,1,12,0,600,120,40100,50000,3,5,1,3,2,2,1,82,1,1,101,2,58,4,1,100,0,0,26,2600,0,0,7,71,0,0,1,10,2,276,2,22,6,25,0,14400,44,6,4,0
2017,201701,950214,2017000087610,4,56,1,2017009502141,0.679,38,0,200,20038,1,1,13,0,720,720,85000,275000,8,6,3,5,2,2,3,43,0,3,302,2,6,6,1,100,0,0,38,3800,0,0,1,12,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,4,0
2017,201701,280502,2017000245469,3,98,1,2017002805021,0.679,12,31,3106,310612,1,2,22,780,1200,9993,35200,9999999,4,10,9,3,5,2,2,104,1,2,201,2,29,1,1,100,0,0,300,30015,3,2016,10,101,62,6206,3,30,1,405,2,23,2,40,0,8200,10,0,0,4
2017,201701,260998,2017001032837,3,50,1,2017002609981,0.679,10,1,200,20010,1,1,13,0,1200,3480,181700,300000,11,11,3,5,2,3,1,50,1,1,101,2,59,1,2,200,0,0,42,4200,0,0,10,101,62,6200,1,10,2,22,2,22,6,50,0,146000,68,3,0,0
2017,201701,1351646,2017001287068,4,63,1,2017013516461,0.679,53,33,11606,1160653,1,1,13,0,960,9992,94600,475000,4,2,3,4,2,2,1,64,2,1,101,2,37,1,1,100,0,0,53,5300,0,0,11,114,52,5200,1,10,2,174,2,27,6,40,0,43800,64,4,0,0
2017,201701,1062583,2017000526582,5,424,1,2017010625831,0.679,42,91,3104,310442,1,1,13,0,2400,1800,511000,650000,10,7,3,5,2,2,1,424,3,1,101,1,43,1,1,100,0,0,42,4200,0,0,10,101,55,5506,1,10,2,274,2,23,6,45,0,481000,47,5,0,0
2017,201701,455794,2017001191117,1,138,6,2017004557941,0.679,17,31,3417,341717,1,1,13,0,720,1320,59000,135000,7,5,3,4,2,1,1,137,0,1,101,2,33,6,1,100,0,0,17,1700,0,0,11,114,23,2304,1,10,2,156,2,28,6,50,0,59000,72,4,0,0
2017,201701,1243588,2017001119781,5,51,2,2017012435881,0.679,48,29,5906,590648,1,1,12,0,2760,9992,104000,80000,7,3,3,5,4,4,1,51,2,1,101,1,86,5,1,100,1,100,48,4800,0,0,2,23,0,0,1,10,2,457,1,13,6,40,12000,12000,17,7,0,0
2017,201701,1147183,2017000691882,3,58,1,2017011471831,0.679,47,157,3208,320847,1,1,12,0,2400,9992,52400,40000,5,5,3,4,2,3,2,64,1,2,201,2,68,1,2,200,0,0,47,4700,0,0,6,65,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,729575,2017000901551,4,22,2,2017007295751,0.679,29,0,2700,270029,1,2,21,0,3120,9993,60000,9999999,4,7,1,3,4,4,1,21,1,1,101,1,52,4,1,100,0,0,29,2900,0,0,6,63,0,0,1,10,2,779,2,22,6,40,0,20000,18,3,0,4
2017,201701,349799,2017001400950,1,67,0,2017003497991,0.679,12,0,2300,230012,3,0,0,0,0,0,9999999,9999999,0,0,0,0,0,0,1,67,0,13,1301,1,26,6,1,100,0,0,37,3700,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,1170142,2017000093345,2,15,1,2017011701421,0.679,48,215,6806,680648,1,2,22,950,1200,9993,123200,9999999,5,9,3,4,4,1,2,18,0,2,201,2,64,1,1,100,1,100,200,20000,2,1965,11,115,37,3700,1,12,2,14,2,27,2,25,0,14400,72,0,4,4
